product_id,product_title,rating,summary,review
CLT2023F001,Women's Square Neck Pink T-Shirt,5,Perfect everyday tee!,This pink t-shirt is absolutely perfect for everyday wear! The square neckline is so flattering and the color is vibrant without being too bright. The material is soft and stretchy - I've washed it several times and it still looks brand new. It fits true to size and the length is just right - not too short or too long. I've already ordered it in two more colors!
CLT2023F001,Women's Square Neck Pink T-Shirt,4,Great fit but fabric could be better,"I really like the design and fit of this t-shirt. The square neck is a nice change from regular crew necks and it's very flattering. The color is beautiful too. My only complaint is that the fabric is a little thinner than I expected. Still, for the price, it's a good purchase and I wear it regularly. Sizing is accurate to the chart provided."
CLT2023F001,Women's Square Neck Pink T-Shirt,5,Stylish basic tee,This is now my go-to t-shirt for casual days! The square neck adds just enough style to make it stand out from basic tees. The pink color is gorgeous and goes with so many things in my wardrobe. The material is soft against the skin and has just the right amount of stretch. Highly recommend!
CLT2023F002,Women's White Turtleneck Long Sleeve Top,5,Elegant and comfortable,"This white turtleneck is exactly what I was looking for! The material is substantial without being too thick, making it perfect for layering or wearing alone. The fit is flattering and the sleeves are the perfect length. I love how versatile it is - I can dress it up for work or wear it casually on weekends. The quality is excellent for the price point."
CLT2023F002,Women's White Turtleneck Long Sleeve Top,4,Good quality but runs small,"The quality of this turtleneck is excellent - soft material that isn't see-through and holds its shape well after washing. My only issue is that it runs a bit small, so I would recommend sizing up, especially if you want a more relaxed fit. The neck isn't too tight which I appreciate in a turtleneck. Overall very satisfied with my purchase."
CLT2023F002,Women's White Turtleneck Long Sleeve Top,5,Classic wardrobe staple,"Everyone needs a good white turtleneck in their closet, and this one is perfect! The ribbed texture adds a nice detail, and the material is substantial enough to not be see-through. I've worn and washed it multiple times and it still looks brand new. The fit is slimming but not too tight. Highly recommend this classic piece!"
CLT2023M001,Men's Navy Blue Zip-Up Jacket,5,Great everyday jacket,"This navy jacket has quickly become my go-to for casual wear. The material is soft yet durable, and the color goes with everything. I appreciate the clean design without excessive logos or details. The zip works smoothly and the pockets are a good size for keys and phone. Fits true to size and looks more expensive than it actually was."
CLT2023M001,Men's Navy Blue Zip-Up Jacket,4,Good quality but sleeves run long,"Overall this is a great jacket - the material is comfortable and the navy color is versatile. My only issue is that the sleeves are a bit long for my arms. The quality of construction is excellent though, with neat stitching and a smooth-running zipper. It's become my regular jacket for cool evenings and casual outings."
CLT2023M001,Men's Navy Blue Zip-Up Jacket,5,Perfect lightweight jacket,I needed a lightweight jacket for spring and fall and this fits the bill perfectly. The navy color is classic and goes with everything in my wardrobe. The material has a nice weight to it - not too heavy but substantial enough to provide some warmth. The fit is excellent across the shoulders and chest. Highly recommend for a versatile piece that works for many occasions.
CLT2023M002,Men's Color Block Adventure Jacket,5,Stylish and functional,"This jacket is both stylish and practical! The color blocking design makes it stand out from basic jackets, and I've received many compliments when wearing it. Despite looking good, it's also very functional - it kept me dry during a recent rainy hike and the high collar provides good protection from wind. The sizing is accurate and there's enough room for a light layer underneath."
CLT2023M002,Men's Color Block Adventure Jacket,4,Good for outdoor activities,"I bought this jacket specifically for hiking and it's been great so far. The material seems durable and water-resistant, though not fully waterproof. The colors are vibrant and exactly as shown in photos. I like the pocket placement and the overall fit is good. Taking off one star only because the zipper can be a bit sticky sometimes, but overall a solid purchase."
CLT2023M002,Men's Color Block Adventure Jacket,5,Eye-catching design and great quality,"This jacket has quickly become one of my favorites. The color combination is eye-catching without being too loud, and the quality is excellent for the price point. It's perfect for spring and fall weather, providing just the right amount of warmth. The fit is true to size and allows for comfortable movement. I especially like the high collar for windy days!"
CLT2023K001,Kids' Denim Bomber Jacket,5,Perfect jacket for my son!,"My 8-year-old son absolutely loves this jacket! The denim material is soft but sturdy, and the bomber style looks so cute on him. It's perfect for school days and weekend outings. The zipper is easy for him to manage independently, and the jacket has held up well to his active lifestyle. We've washed it several times and it still looks great. Definitely recommend!"
CLT2023K001,Kids' Denim Bomber Jacket,4,Good quality but runs small,"This is a well-made jacket with good quality denim that isn't too stiff for kids. The design is cute and my son loves wearing it. My only complaint is that it runs small - I ordered my son's usual size and it's a bit tight, especially in the arms. I would recommend sizing up. Otherwise, it's a great jacket that goes with everything."
